HOIST ID,HOIST TYPE,TOTAL LOAD ,TRIM,DEC X,X,DEC Y,Y,,CONTROL CABLE,
4-3,1 Ton,1047 lbs,"30'0""",-28.983,"-29'0""",60.046,"60'1""",Truss Sling 20.5x20.5in,50,1
4-5,1 Ton,981 lbs,"30'0""",1.040,"1'0""",60.046,"60'1""",Truss Sling 20.5x20.5in,25,1
4-6,1 Ton,975 lbs,"30'0""",30.354,"30'4""",60.045,"60'1""",Truss Sling 20.5x20.5in,50,1
4-7,1 Ton,1027 lbs,"30'0""",60.271,"60'3""",60.045,"60'1""",Truss Sling 20.5x20.5in,50,1
4-10,1 Ton,483 lbs,"30'0""",139.778,"139'9""",60.044,"60'1""",Truss Sling 20.5x20.5in,75,1
4-8,1 Ton,580 lbs,"30'0""",90.099,"90'1""",60.044,"60'1""",Truss Sling 20.5x20.5in,25,1
4-9,1 Ton,807 lbs,"30'0""",110.354,"110'4""",60.043,"60'1""",Truss Sling 20.5x20.5in,50,1
4-2,1 Ton,900 lbs,"30'0""",-58.686,"-58'8""",59.469,"59'6""",Truss Sling 20.5x20.5in,75,1
29-14,1/2 Ton,353 lbs,"28'4""",139.843,"139'10""",57.078,"57'1""",Truss Sling 20.5x20.5in,100,1
4-11,1 Ton,390 lbs,"30'0""",100.071,"100'1""",55.273,"55'3""",Truss Sling 20.5x20.5in,50,1
AUD-8,1/2 Ton,861 lbs,"0""",-58.498,"-58'6""",50.273,"50'3""",,50,1
28-4,1/2 Ton,714 lbs,"24'0""",130.167,"130'2""",50.043,"50'1""",Truss Sling 24x14in,50,1
1-13,1 Ton,312 lbs,"28'6""",-74.738,"-74'9""",50.018,"50'0""",Truss Sling 20.5x20.5in,50,1
4-4,1 Ton,285 lbs,"30'0""",-6.789,"-6'9""",49.924,"49'11""",Truss Sling 20.5x20.5in,25,1
2-5,1/2 Ton DR,771 lbs,"32'5""",-78.214,"-78'3""",40.060,"40'1""",Truss Sling 12x12in,75,1
1-12,1 Ton,318 lbs,"28'6""",-80.605,"-80'7""",40.044,"40'1""",Truss Sling 20.5x20.5in,50,1
17-1,1/2 Ton,371 lbs,"30'0""",-58.177,"-58'2""",40.041,"40'0""",Truss Sling 24x14in,125,1
17-2,1 Ton,918 lbs,"30'0""",-28.134,"-28'2""",40.040,"40'0""",Truss Sling 24x14in,100,1
17-3,1/2 Ton,694 lbs,"30'0""",1.823,"1'10""",40.039,"40'0""",Truss Sling 24x14in,50,1
17-4,1/2 Ton,735 lbs,"30'0""",29.913,"29'11""",40.038,"40'0""",Truss Sling 24x14in,25,1
17-5,1/2 Ton,727 lbs,"30'0""",59.963,"60'0""",40.037,"40'0""",Truss Sling 24x14in,25,1
17-6,1 Ton,917 lbs,"30'0""",89.963,"90'0""",40.036,"40'0""",Truss Sling 24x14in,75,1
17-7,1/2 Ton,416 lbs,"30'0""",119.858,"119'10""",40.035,"40'0""",Truss Sling 24x14in,100,1
4-1,1 Ton,591 lbs,"30'0""",-70.726,"-70'9""",40.034,"40'0""",Truss Sling 20.5x20.5in,100,1
1-5,1 Ton,468 lbs,"28'6""",-91.949,"-91'11""",40.032,"40'0""",Truss Sling 20.5x20.5in,50,1
18-4,1/2 Ton,516 lbs,"28'0""",100.138,"100'2""",37.337,"37'4""",Truss Sling 24x14in,75,1
LED2-6,1/2 Ton INVERT,187 lbs,"0""",147.082,"147'1""",36.272,"36'3""",Truss Sling 20.5x20.5in,50,1
LED2-5,1/2 Ton INVERT,187 lbs,"0""",147.100,"147'1""",32.885,"32'11""",Truss Sling 20.5x20.5in,50,1
5-4,1/2 Ton,423 lbs,"32'0""",-50.171,"-50'2""",30.191,"30'2""",Truss Sling 24x14in,50,1
1-11,1 Ton,1425 lbs,"28'6""",-86.462,"-86'6""",30.092,"30'1""",Truss Sling 20.5x20.5in,25,1
1-4,1 Ton,677 lbs,"28'6""",-97.812,"-97'10""",30.069,"30'1""",Truss Sling 20.5x20.5in,50,1
2-4,1/2 Ton DR,696 lbs,"32'5""",-84.103,"-84'1""",30.050,"30'1""",Truss Sling 12x12in,75,1
AUD-11,1/2 Ton,601 lbs,"0""",40.167,"40'2""",30.046,"30'1""",,50,1
28-3,1 Ton,1338 lbs,"24'0""",130.167,"130'2""",30.045,"30'1""",Truss Sling 24x14in,25,1
LED2-4,1/2 Ton INVERT,187 lbs,"0""",147.104,"147'1""",29.723,"29'9""",Truss Sling 20.5x20.5in,50,1
AUD-6,1/2 Ton DR,232 lbs,"0""",-90.270,"-90'3""",29.699,"29'8""",,50,1
AUD-5,1/2 Ton DR,218 lbs,"0""",-87.625,"-87'8""",28.135,"28'2""",,50,1
LED2-3,1/2 Ton INVERT,187 lbs,"0""",147.070,"147'1""",24.801,"24'10""",Truss Sling 20.5x20.5in,50,1
LED2-2,1/2 Ton INVERT,187 lbs,"0""",147.073,"147'1""",21.520,"21'6""",Truss Sling 20.5x20.5in,50,1
7-5,1 Ton,1092 lbs,"32'0""",-35.337,"-35'4""",20.103,"20'1""",Truss Sling 24x14in,50,1
1-3,1 Ton,442 lbs,"28'6""",-103.687,"-103'8""",20.081,"20'1""",Truss Sling 20.5x20.5in,25,1
1-10,1 Ton,993 lbs,"28'6""",-92.359,"-92'4""",20.067,"20'1""",Truss Sling 20.5x20.5in,25,1
29-13,1 Ton,975 lbs,"28'4""",139.843,"139'10""",20.045,"20'1""",Truss Sling 20.5x20.5in,50,1
11-6,1 Ton,1086 lbs,"32'1""",8.213,"8'3""",20.043,"20'1""",Truss Sling 24x14in,75,1
8-5,1/2 Ton,525 lbs,"32'11""",-18.695,"-18'8""",20.036,"20'0""",Truss Sling 24x14in,75,1
18-3,1/2 Ton,519 lbs,"28'0""",100.138,"100'2""",19.996,"20'0""",Truss Sling 24x14in,50,1
16-4,1/2 Ton,474 lbs,"27'0""",40.163,"40'2""",18.396,"18'5""",Truss Sling 12x12in,75,1
LED2-1,1/2 Ton INVERT,187 lbs,"0""",147.075,"147'1""",18.240,"18'3""",Truss Sling 20.5x20.5in,50,1
AUD-4,1/2 Ton DR,162 lbs,"0""",-99.282,"-99'3""",14.379,"14'5""",,25,1
AUD-3,1/2 Ton DR,154 lbs,"0""",-96.633,"-96'8""",12.821,"12'10""",,25,1
AUD-10,1/2 Ton DR,527 lbs,"0""",-76.400,"-76'5""",0.919,"11""",Truss Sling 12x12in,50,1
